x_value,total_1,total_2
0,1000,1000
1,994,995
2,998,991
3,994,990
4,993,992
5,998,987
6,1001,988
7,997,986
8,1001,989
9,1002,986
10,1009,984
11,1011,989
12,1010,985
13,1014,991
14,1011,994
15,1012,995
16,1008,996
17,1002,999
18,1004,996
19,1004,991
20,1005,992
21,1013,994
22,1007,989
23,1003,986
24,1006,984
25,1009,987
26,1016,991
27,1019,995
28,1021,995
29,1017,997
30,1020,1002
31,1017,1003
32,1023,1006
33,1024,1005
34,1018,1008
35,1022,1014
36,1016,1017
37,1014,1014
38,1008,1016
39,1003,1017
40,1005,1021
41,1012,1021
42,1013,1017
43,1009,1021
44,1008,1021
45,1010,1018
46,1014,1024
47,1008,1028
48,1011,1026
49,1014,1025
50,1019,1025
51,1013,1031
52,1019,1029
53,1026,1034
54,1028,1031
55,1034,1029
56,1036,1029
57,1032,1026
58,1038,1025
59,1039,1027
60,1046,1031
61,1052,1031
62,1047,1033
63,1041,1032
64,1036,1033
65,1030,1029
66,1031,1025
67,1027,1030
68,1035,1029
69,1033,1026
70,1038,1032
71,1041,1034
72,1047,1032
73,1043,1036
74,1039,1031
75,1037,1028
76,1045,1024
77,1040,1028
78,1034,1025
79,1038,1026
80,1040,1027
81,1042,1030
82,1047,1034
83,1043,1036
84,1042,1035
85,1042,1037
86,1047,1035
87,1055,1030
88,1053,1031
89,1050,1037
90,1049,1041
91,1044,1040
92,1038,1042
93,1033,1046
94,1032,1041
95,1035,1044
96,1030,1046
97,1035,1049
98,1035,1044
99,1042,1049
100,1044,1048
101,1048,1044
102,1055,1040
103,1053,1036
104,1048,1034
105,1042,1036
106,1037,1031
107,1032,1034
108,1037,1032
109,1041,1037
110,1044,1039
111,1043,1044
112,1037,1048
113,1038,1051
114,1036,1057
115,1032,1055
116,1040,1060
117,1048,1065
118,1047,1068
119,1052,1065
120,1054,1062
121,1053,1057
122,1057,1052
123,1056,1048
124,1059,1043
125,1058,1045
126,1060,1048
127,1064,1045
128,1065,1042
129,1062,1039
130,1063,1039
131,1059,1036
132,1065,1032
133,1066,1032
134,1060,1032
135,1067,1028
136,1068,1032
137,1071,1036
138,1073,1036
139,1068,1031
140,1065,1034
141,1062,1037
142,1064,1040
143,1061,1041
144,1055,1043
145,1054,1047
146,1050,1042
147,1055,1043
148,1062,1046
149,1064,1047
150,1066,1053
151,1065,1051
152,1070,1057
153,1073,1058
154,1074,1059
155,1070,1061
156,1067,1060
157,1062,1058
158,1062,1061
159,1063,1064
160,1060,1060
161,1062,1062
162,1067,1064
163,1075,1068
164,1083,1063
165,1079,1062
166,1078,1062
167,1074,1067
168,1078,1063
169,1085,1065
170,1086,1071
171,1086,1075
172,1085,1071
173,1080,1076
174,1076,1082
175,1076,1085
176,1078,1085
177,1078,1083
178,1078,1079
179,1073,1082
180,1072,1077
181,1070,1083
182,1075,1079
183,1081,1078
184,1082,1080
185,1087,1077
186,1087,1075
187,1086,1074
188,1081,1077
189,1084,1072
190,1086,1067
191,1093,1067
192,1099,1073
193,1107,1074
194,1110,1072
195,1112,1078
196,1109,1079
197,1112,1075
198,1113,1073
199,1119,1069
200,1118,1069
201,1117,1075
202,1112,1079
203,1115,1079
204,1121,1085
205,1116,1086
206,1115,1092
207,1118,1093
208,1120,1090
209,1125,1088
210,1121,1089
211,1124,1091
212,1121,1095
213,1115,1100
214,1112,1105
215,1107,1111
216,1113,1111
217,1115,1117
218,1119,1114
219,1122,1113
220,1124,1114
221,1122,1114
222,1117,1115
223,1124,1111
224,1129,1117
225,1131,1115
